"datetime" "z" "value"
2015-05-01 00:00:00 0 0.150358820895522
2015-05-01 00:00:00 -0.1 0.15519255721393
2015-05-01 00:00:00 -0.2 0.161350791044776
2015-05-01 00:00:00 -0.3 0.166903611940299
2015-05-01 00:00:00 -0.4 0.170961626865672
2015-05-01 00:00:00 -0.5 0.173953437810945
2015-05-01 00:00:00 -0.6 0.17607939800995
2015-05-01 00:00:00 -0.7 0.177916293532338
2015-05-01 00:00:00 -0.8 0.179012338308458
2015-05-01 00:00:00 -0.9 0.179749850746269
2015-05-01 00:00:00 -1 0.180270805970149
2015-05-01 00:00:00 -1.1 0.180843631840796
2015-05-01 00:00:00 -1.2 0.181312472636816
2015-05-01 00:00:00 -1.3 0.181690049751244
2015-05-01 00:00:00 -1.4 0.182296402985075
2015-05-01 00:00:00 -1.5 0.182917676616915
2015-05-01 00:00:00 -1.6 0.183666009950249
2015-05-01 00:00:00 -1.7 0.184363343283582
2015-05-01 00:00:00 -1.8 0.184895373134328
2015-05-01 00:00:00 -1.9 0.185162527363184
2015-05-01 00:00:00 -2 0.185104865671642
2015-05-01 00:00:00 -2.1 0.184356756218905
2015-05-01 00:00:00 -2.2 0.182327800995025
2015-05-01 00:00:00 -2.3 0.179064213930348
2015-05-01 00:00:00 -2.4 0.172521089552239
2015-05-01 00:00:00 -2.5 0.165983383084577
2015-05-01 00:00:00 -2.6 0.158299388059701
2015-05-01 00:00:00 -2.7 0.149618696517413
2015-05-01 00:00:00 -2.8 0.145366661691542
2015-05-01 00:00:00 -2.9 0.142239656716418
2015-05-01 00:00:00 -3 0.141367641791045
2015-05-01 00:00:00 -3.1 0.141273631840796
2015-05-01 00:00:00 -3.2 0.14145160199005
2015-05-01 00:00:00 -3.3 0.14171363681592
2015-05-01 00:00:00 -3.4 0.142067965174129
2015-05-01 00:00:00 -3.5 0.142532875621891
2015-05-01 00:00:00 -3.6 0.142985751243781
2015-05-01 00:00:00 -3.7 0.143417338308458
2015-05-01 00:00:00 -3.8 0.143971323383085
2015-05-01 00:00:00 -3.9 0.144395094527363
2015-05-01 00:00:00 -4 0.14494176119403
2015-05-01 00:00:00 -4.1 0.145540134328358
2015-05-01 00:00:00 -4.2 0.145902726368159
2015-05-01 00:00:00 -4.3 0.14637547761194
2015-05-01 00:00:00 -4.4 0.146884721393035
2015-05-01 00:00:00 -4.5 0.147333502487562
2015-05-01 00:00:00 -4.6 0.147787353233831
2015-05-01 00:00:00 -4.7 0.148245407960199
2015-05-01 00:00:00 -4.8 0.148606721393035
2015-05-01 00:00:00 -4.9 0.148812711442786
2015-05-01 00:00:00 -5 0.148905293532338
2015-05-01 01:00:00 0 0.148456134328358
2015-05-01 01:00:00 -0.1 0.15463660199005
2015-05-01 01:00:00 -0.2 0.160436731343284
2015-05-01 01:00:00 -0.3 0.16595855721393
2015-05-01 01:00:00 -0.4 0.170068452736318
2015-05-01 01:00:00 -0.5 0.173148164179104
2015-05-01 01:00:00 -0.6 0.175378179104478
2015-05-01 01:00:00 -0.7 0.177359333333333
2015-05-01 01:00:00 -0.8 0.178584268656716
2015-05-01 01:00:00 -0.9 0.179440567164179
2015-05-01 01:00:00 -1 0.180054213930348
2015-05-01 01:00:00 -1.1 0.180701278606965
2015-05-01 01:00:00 -1.2 0.18118976119403
2015-05-01 01:00:00 -1.3 0.181554064676617
2015-05-01 01:00:00 -1.4 0.182127482587065
2015-05-01 01:00:00 -1.5 0.182716696517413
2015-05-01 01:00:00 -1.6 0.183434960199005
2015-05-01 01:00:00 -1.7 0.184120109452736
2015-05-01 01:00:00 -1.8 0.184661358208955
2015-05-01 01:00:00 -1.9 0.184961646766169
2015-05-01 01:00:00 -2 0.184977358208955
2015-05-01 01:00:00 -2.1 0.184379631840796
2015-05-01 01:00:00 -2.2 0.18263368159204
2015-05-01 01:00:00 -2.3 0.179727298507463
2015-05-01 01:00:00 -2.4 0.17373563681592
2015-05-01 01:00:00 -2.5 0.167565567164179
2015-05-01 01:00:00 -2.6 0.16001923880597
2015-05-01 01:00:00 -2.7 0.150968034825871
2015-05-01 01:00:00 -2.8 0.146257925373134
2015-05-01 01:00:00 -2.9 0.142578323383085
2015-05-01 01:00:00 -3 0.141487910447761
2015-05-01 01:00:00 -3.1 0.141308721393035
2015-05-01 01:00:00 -3.2 0.141451119402985
2015-05-01 01:00:00 -3.3 0.141701621890547
2015-05-01 01:00:00 -3.4 0.142048487562189
2015-05-01 01:00:00 -3.5 0.142508164179104
2015-05-01 01:00:00 -3.6 0.142957417910448
2015-05-01 01:00:00 -3.7 0.143386462686567
2015-05-01 01:00:00 -3.8 0.143937975124378
2015-05-01 01:00:00 -3.9 0.144360308457711
2015-05-01 01:00:00 -4 0.144905542288557
2015-05-01 01:00:00 -4.1 0.145502666666667
2015-05-01 01:00:00 -4.2 0.145864711442786
2015-05-01 01:00:00 -4.3 0.146336751243781
2015-05-01 01:00:00 -4.4 0.146845358208955
2015-05-01 01:00:00 -4.5 0.14729376119403
2015-05-01 01:00:00 -4.6 0.147747228855721
2015-05-01 01:00:00 -4.7 0.148204855721393
2015-05-01 01:00:00 -4.8 0.148565885572139
2015-05-01 01:00:00 -4.9 0.148771731343284
2015-05-01 01:00:00 -5 0.148864273631841
2015-05-01 02:00:00 0 0.15046228358209
2015-05-01 02:00:00 -0.1 0.153857975124378
2015-05-01 02:00:00 -0.2 0.159606830845771
2015-05-01 02:00:00 -0.3 0.165058855721393
2015-05-01 02:00:00 -0.4 0.169199527363184
2015-05-01 02:00:00 -0.5 0.172350333333333
2015-05-01 02:00:00 -0.6 0.174671144278607
2015-05-01 02:00:00 -0.7 0.176780278606965
2015-05-01 02:00:00 -0.8 0.178123393034826
2015-05-01 02:00:00 -0.9 0.179093472636816
2015-05-01 02:00:00 -1 0.179801955223881
2015-05-01 02:00:00 -1.1 0.180535233830846
2015-05-01 02:00:00 -1.2 0.18105715920398
2015-05-01 02:00:00 -1.3 0.181417373134328
2015-05-01 02:00:00 -1.4 0.181966666666667
2015-05-01 02:00:00 -1.5 0.182527980099502
2015-05-01 02:00:00 -1.6 0.183216606965174
2015-05-01 02:00:00 -1.7 0.183886452736318
2015-05-01 02:00:00 -1.8 0.18443176119403
2015-05-01 02:00:00 -1.9 0.184758512437811
2015-05-01 02:00:00 -2 0.184837104477612
2015-05-01 02:00:00 -2.1 0.184371865671642
2015-05-01 02:00:00 -2.2 0.182879552238806
2015-05-01 02:00:00 -2.3 0.180301616915423
2015-05-01 02:00:00 -2.4 0.174841308457711
2015-05-01 02:00:00 -2.5 0.169060656716418
2015-05-01 02:00:00 -2.6 0.161726492537313
2015-05-01 02:00:00 -2.7 0.152409338308458
2015-05-01 02:00:00 -2.8 0.147260393034826
2015-05-01 02:00:00 -2.9 0.142983233830846
2015-05-01 02:00:00 -3 0.141638676616915
2015-05-01 02:00:00 -3.1 0.141354835820896
2015-05-01 02:00:00 -3.2 0.141453965174129
2015-05-01 02:00:00 -3.3 0.141691104477612
2015-05-01 02:00:00 -3.4 0.142029746268657
2015-05-01 02:00:00 -3.5 0.142483970149254
2015-05-01 02:00:00 -3.6 0.14292944278607
2015-05-01 02:00:00 -3.7 0.143355830845771
2015-05-01 02:00:00 -3.8 0.143904756218905
2015-05-01 02:00:00 -3.9 0.144325701492537
2015-05-01 02:00:00 -4 0.144869517412935
2015-05-01 02:00:00 -4.1 0.145465358208955
2015-05-01 02:00:00 -4.2 0.145826771144279
2015-05-01 02:00:00 -4.3 0.146298139303483
2015-05-01 02:00:00 -4.4 0.146806149253731
2015-05-01 02:00:00 -4.5 0.147254094527363
2015-05-01 02:00:00 -4.6 0.147707199004975
2015-05-01 02:00:00 -4.7 0.148164437810945
2015-05-01 02:00:00 -4.8 0.148525203980099
2015-05-01 02:00:00 -4.9 0.148730825870647
2015-05-01 02:00:00 -5 0.148823338308458
2015-05-01 03:00:00 0 0.160981880597015
2015-05-01 03:00:00 -0.1 0.15511260199005
2015-05-01 03:00:00 -0.2 0.158919228855721
2015-05-01 03:00:00 -0.3 0.164291273631841
2015-05-01 03:00:00 -0.4 0.168446328358209
2015-05-01 03:00:00 -0.5 0.17164728358209
2015-05-01 03:00:00 -0.6 0.174038930348259
2015-05-01 03:00:00 -0.7 0.176251313432836
2015-05-01 03:00:00 -0.8 0.177691074626866
2015-05-01 03:00:00 -0.9 0.178757014925373
2015-05-01 03:00:00 -1 0.179549741293532
2015-05-01 03:00:00 -1.1 0.180367004975124
2015-05-01 03:00:00 -1.2 0.180928751243781
2015-05-01 03:00:00 -1.3 0.181292970149254
2015-05-01 03:00:00 -1.4 0.181829144278607
2015-05-01 03:00:00 -1.5 0.182370154228856
2015-05-01 03:00:00 -1.6 0.183034109452736
2015-05-01 03:00:00 -1.7 0.183688592039801
2015-05-01 03:00:00 -1.8 0.184233597014925
2015-05-01 03:00:00 -1.9 0.18457815920398
2015-05-01 03:00:00 -2 0.184703422885572
2015-05-01 03:00:00 -2.1 0.184340293532338
2015-05-01 03:00:00 -2.2 0.183047034825871
2015-05-01 03:00:00 -2.3 0.180733248756219
2015-05-01 03:00:00 -2.4 0.175719925373134
2015-05-01 03:00:00 -2.5 0.17029423880597
2015-05-01 03:00:00 -2.6 0.163203781094527
2015-05-01 03:00:00 -2.7 0.153747373134328
2015-05-01 03:00:00 -2.8 0.148238592039801
2015-05-01 03:00:00 -2.9 0.143402885572139
2015-05-01 03:00:00 -3 0.141802353233831
2015-05-01 03:00:00 -3.1 0.141406746268657
2015-05-01 03:00:00 -3.2 0.141459830845771
2015-05-01 03:00:00 -3.3 0.1416832039801
2015-05-01 03:00:00 -3.4 0.142013805970149
2015-05-01 03:00:00 -3.5 0.14246284079602
2015-05-01 03:00:00 -3.6 0.142904900497512
2015-05-01 03:00:00 -3.7 0.143329029850746
2015-05-01 03:00:00 -3.8 0.143875786069652
2015-05-01 03:00:00 -3.9 0.144295303482587
2015-05-01 03:00:00 -4 0.144837741293532
2015-05-01 03:00:00 -4.1 0.145432467661692
2015-05-01 03:00:00 -4.2 0.145793343283582
2015-05-01 03:00:00 -4.3 0.146264189054726
2015-05-01 03:00:00 -4.4 0.146771726368159
2015-05-01 03:00:00 -4.5 0.147219328358209
2015-05-01 03:00:00 -4.6 0.147672034825871
2015-05-01 03:00:00 -4.7 0.148128895522388
2015-05-01 03:00:00 -4.8 0.14848936318408
2015-05-01 03:00:00 -4.9 0.14869484079602
2015-05-01 03:00:00 -5 0.148787268656716
2015-05-01 04:00:00 0 0.167396024875622
2015-05-01 04:00:00 -0.1 0.158302945273632
2015-05-01 04:00:00 -0.2 0.158756507462687
2015-05-01 04:00:00 -0.3 0.163499975124378
2015-05-01 04:00:00 -0.4 0.167628577114428
2015-05-01 04:00:00 -0.5 0.170873194029851
2015-05-01 04:00:00 -0.6 0.173331592039801
2015-05-01 04:00:00 -0.7 0.175646019900498
2015-05-01 04:00:00 -0.8 0.177184542288557
2015-05-01 04:00:00 -0.9 0.178351542288557
2015-05-01 04:00:00 -1 0.179236900497512
2015-05-01 04:00:00 -1.1 0.180153333333333
2015-05-01 04:00:00 -1.2 0.180768348258706
2015-05-01 04:00:00 -1.3 0.181144731343284
2015-05-01 04:00:00 -1.4 0.181675562189055
2015-05-01 04:00:00 -1.5 0.182199502487562
2015-05-01 04:00:00 -1.6 0.182838940298507
2015-05-01 04:00:00 -1.7 0.183475582089552
2015-05-01 04:00:00 -1.8 0.184017089552239
2015-05-01 04:00:00 -1.9 0.184376915422886
2015-05-01 04:00:00 -2 0.184546661691542
2015-05-01 04:00:00 -2.1 0.184284582089552
2015-05-01 04:00:00 -2.2 0.183191955223881
2015-05-01 04:00:00 -2.3 0.181149507462687
2015-05-01 04:00:00 -2.4 0.176610298507463
2015-05-01 04:00:00 -2.5 0.171583606965174
2015-05-01 04:00:00 -2.6 0.164812194029851
2015-05-01 04:00:00 -2.7 0.155303940298507
2015-05-01 04:00:00 -2.8 0.149435741293532
2015-05-01 04:00:00 -2.9 0.143951885572139
2015-05-01 04:00:00 -3 0.142028154228856
2015-05-01 04:00:00 -3.1 0.141481263681592
2015-05-01 04:00:00 -3.2 0.141471412935323
2015-05-01 04:00:00 -3.3 0.14167644278607
2015-05-01 04:00:00 -3.4 0.141996810945274
2015-05-01 04:00:00 -3.5 0.142439691542289
2015-05-01 04:00:00 -3.6 0.14287776119403
2015-05-01 04:00:00 -3.7 0.143299189054726
2015-05-01 04:00:00 -3.8 0.143843293532338
2015-05-01 04:00:00 -3.9 0.14426136318408
2015-05-01 04:00:00 -4 0.14480231840796
