"Scenario" "SGlocation" "verticalLimit" "Intercept" "Slope"
"Soil type clay loam" "Wettzell" 5 1.82256741900373 -2.89577332924043
"Soil type clay loam" "Wettzell" 4.5 1.74735935995959 -2.67297760705569
"Soil type clay loam" "Wettzell" 4 1.72218834885127 -2.60998108837724
"Soil type clay loam" "Wettzell" 3.5 1.67338293645316 -2.47415776055447
"Soil type clay loam" "Wettzell" 3 1.62988771482118 -2.35815172471072
"Soil type clay loam" "Wettzell" 2.5 1.59102204841633 -2.26155923083669
"Soil type clay loam" "Wettzell" 2 1.55722653258693 -2.18940717295382
"Soil type clay loam" "Wettzell" 1.5 1.52485960961603 -2.13328487677152
"Soil type clay loam" "Wettzell" 1 1.45565579649666 -1.95122591083983
"Soil type clay loam" "Wettzell" 0.5 1.37388146346025 -1.73592405967583
"Soil type clay loam" "Center" 5 1.83280264714097 -2.96936681882972
"Soil type clay loam" "Center" 4.5 1.74847128363686 -2.71974615610976
"Soil type clay loam" "Center" 4 1.71486049611271 -2.63291061026387
"Soil type clay loam" "Center" 3.5 1.66045056844825 -2.48139340228818
"Soil type clay loam" "Center" 3 1.6130963012535 -2.35460206890957
"Soil type clay loam" "Center" 2.5 1.5717702670045 -2.2499335622851
"Soil type clay loam" "Center" 2 1.53521217925997 -2.16428977578949
"Soil type clay loam" "Center" 1.5 1.49325053695855 -2.06610181577265
"Soil type clay loam" "Center" 1 1.43129055605675 -1.90282128430109
"Soil type clay loam" "Center" 0.5 1.35919112855266 -1.71481731194885
"Soil type clay loam" "Corner" 5 1.66143139224683 -2.35974881935606
"Soil type clay loam" "Corner" 4.5 1.61558961382764 -2.22636146109757
"Soil type clay loam" "Corner" 4 1.62371109932038 -2.26470141940557
"Soil type clay loam" "Corner" 3.5 1.59775393834385 -2.19850357352297
"Soil type clay loam" "Corner" 3 1.57257336322313 -2.13888892492716
"Soil type clay loam" "Corner" 2.5 1.54877734842014 -2.09091283676679
"Soil type clay loam" "Corner" 2 1.53360829490744 -2.08587388681412
"Soil type clay loam" "Corner" 1.5 1.5237968413199 -2.1131520882587
"Soil type clay loam" "Corner" 1 1.45846737595172 -1.94732314088189
"Soil type clay loam" "Corner" 0.5 1.3803048928926 -1.7458347649575
"Soil type clay loam" "Trans" 5 1.83804292511339 -2.97489278574119
"Soil type clay loam" "Trans" 4.5 1.75475984266399 -2.72819689762642
"Soil type clay loam" "Trans" 4 1.72180317777834 -2.64286574932256
"Soil type clay loam" "Trans" 3.5 1.66772507199137 -2.49204630159459
"Soil type clay loam" "Trans" 3 1.62035156359397 -2.36503841993266
"Soil type clay loam" "Trans" 2.5 1.57859470113095 -2.25933122883257
"Soil type clay loam" "Trans" 2 1.54116230945457 -2.17232758496506
"Soil type clay loam" "Trans" 1.5 1.50021858824456 -2.08024003958904
"Soil type clay loam" "Trans" 1 1.43625462141923 -1.91172958115145
"Soil type clay loam" "Trans" 0.5 1.36208896624843 -1.71848177354057
"Soil type clay loam" "Side" 5 1.76724675001784 -2.7134491792701
"Soil type clay loam" "Side" 4.5 1.70223005621846 -2.52177254885253
"Soil type clay loam" "Side" 4 1.6889251998249 -2.49508398648594
"Soil type clay loam" "Side" 3.5 1.64808662260393 -2.38370174761214
"Soil type clay loam" "Side" 3 1.61096467837374 -2.28752986868209
"Soil type clay loam" "Side" 2.5 1.57720449979582 -2.20771961809455
"Soil type clay loam" "Side" 2 1.54907820452401 -2.15698373553284
"Soil type clay loam" "Side" 1.5 1.52174998081027 -2.11836548043734
"Soil type clay loam" "Side" 1 1.45489440094048 -1.94407376663349
"Soil type clay loam" "Side" 0.5 1.37633643688601 -1.73932756844676
"Soil type silty loam" "Wettzell" 5 1.73151019100126 -2.87202223505258
"Soil type silty loam" "Wettzell" 4.5 1.67547720579724 -2.70209305656158
"Soil type silty loam" "Wettzell" 4 1.65406558070511 -2.65293664680531
"Soil type silty loam" "Wettzell" 3.5 1.60265951703393 -2.50641938673825
"Soil type silty loam" "Wettzell" 3 1.55165336484946 -2.36594284740118
"Soil type silty loam" "Wettzell" 2.5 1.50345219887593 -2.24143196159062
"Soil type silty loam" "Wettzell" 2 1.46028554609895 -2.14488256099112
"Soil type silty loam" "Wettzell" 1.5 1.41806369303528 -2.0666258528466
"Soil type silty loam" "Wettzell" 1 1.34844504374322 -1.8827589125036
"Soil type silty loam" "Wettzell" 0.5 1.27462589451168 -1.69313460648506
"Soil type silty loam" "Center" 5 1.75729367875487 -3.00828357474023
"Soil type silty loam" "Center" 4.5 1.68611151470245 -2.79100948232129
"Soil type silty loam" "Center" 4 1.64911303526277 -2.69418290978908
"Soil type silty loam" "Center" 3.5 1.58647124479428 -2.51329434831552
"Soil type silty loam" "Center" 3 1.52787168495963 -2.34952168067628
"Soil type silty loam" "Center" 2.5 1.47578118685711 -2.21144731467092
"Soil type silty loam" "Center" 2 1.43149992777314 -2.10422770175831
"Soil type silty loam" "Center" 1.5 1.38556423662611 -1.99668511148488
"Soil type silty loam" "Center" 1 1.32564765418263 -1.83924284993846
"Soil type silty loam" "Center" 0.5 1.2613325608136 -1.67673207505509
"Soil type silty loam" "Corner" 5 1.53820777417765 -2.19234454888099
"Soil type silty loam" "Corner" 4.5 1.51109253029834 -2.11493253793037
"Soil type silty loam" "Corner" 4 1.52862192680802 -2.19047867824046
"Soil type silty loam" "Corner" 3.5 1.51039389261199 -2.15047598514364
"Soil type silty loam" "Corner" 3 1.48781015047336 -2.10217130185754
"Soil type silty loam" "Corner" 2.5 1.46219690601108 -2.05412238700749
"Soil type silty loam" "Corner" 2 1.43998325422076 -2.03910420213677
"Soil type silty loam" "Corner" 1.5 1.41835970737923 -2.04674361858595
"Soil type silty loam" "Corner" 1 1.35114139274416 -1.87649657841116
"Soil type silty loam" "Corner" 0.5 1.28032881085411 -1.70026117993031
"Soil type silty loam" "Trans" 5 1.75787395342959 -2.9970459268829
"Soil type silty loam" "Trans" 4.5 1.68994732180714 -2.78987723137603
"Soil type silty loam" "Trans" 4 1.65573791140484 -2.70139657153599
"Soil type silty loam" "Trans" 3.5 1.5947850031915 -2.5255525449757
"Soil type silty loam" "Trans" 3 1.5368795095092 -2.36385086773628
"Soil type silty loam" "Trans" 2.5 1.48443989455881 -2.22508830906972
"Soil type silty loam" "Trans" 2 1.43868874479242 -2.11494931796882
"Soil type silty loam" "Trans" 1.5 1.39243783981132 -2.01044731927995
"Soil type silty loam" "Trans" 1 1.33013284491081 -1.84658681542101
"Soil type silty loam" "Trans" 0.5 1.26389044745574 -1.6794234831866
"Soil type silty loam" "Side" 5 1.66165777916109 -2.62966676740279
"Soil type silty loam" "Side" 4.5 1.61610626838799 -2.49340622736046
"Soil type silty loam" "Side" 4 1.60866159486242 -2.48924105863059
"Soil type silty loam" "Side" 3.5 1.56897427037458 -2.38057470512997
"Soil type silty loam" "Side" 3 1.52797103837577 -2.27282512058508
"Soil type silty loam" "Side" 2.5 1.48757338119094 -2.17513100842882
"Soil type silty loam" "Side" 2 1.45088180285837 -2.10505085066364
"Soil type silty loam" "Side" 1.5 1.41447452010699 -2.04846445742628
"Soil type silty loam" "Side" 1 1.34747907083811 -1.87389125646081
"Soil type silty loam" "Side" 0.5 1.27680155473568 -1.69544273660957
"Soil type sandy loam" "Wettzell" 5 1.40029444943218 -4.08758299569903
"Soil type sandy loam" "Wettzell" 4.5 1.37187025668686 -3.94721927261001
"Soil type sandy loam" "Wettzell" 4 1.35262481995211 -3.88653562182868
"Soil type sandy loam" "Wettzell" 3.5 1.32184014052974 -3.75477003530662
"Soil type sandy loam" "Wettzell" 3 1.28812099402408 -3.62003402053962
"Soil type sandy loam" "Wettzell" 2.5 1.25165508758701 -3.49201063587986
"Soil type sandy loam" "Wettzell" 2 1.2120212773267 -3.38181527708817
"Soil type sandy loam" "Wettzell" 1.5 1.16899772279156 -3.29323333036039
"Soil type sandy loam" "Wettzell" 1 1.10229947593439 -2.98680841831471
"Soil type sandy loam" "Wettzell" 0.5 1.00723270334585 -2.51944028170566
"Soil type sandy loam" "Center" 5 1.39457189765147 -4.20855373916494
"Soil type sandy loam" "Center" 4.5 1.3592448761974 -4.02881595279144
"Soil type sandy loam" "Center" 4 1.3342565779396 -3.93635514148798
"Soil type sandy loam" "Center" 3.5 1.29960941140348 -3.78109359119917
"Soil type sandy loam" "Center" 3 1.26465199801122 -3.63407347048853
"Soil type sandy loam" "Center" 2.5 1.23052726949242 -3.50466095075156
"Soil type sandy loam" "Center" 2 1.19609022287812 -3.38711392312601
"Soil type sandy loam" "Center" 1.5 1.15646587901089 -3.2469478533871
"Soil type sandy loam" "Center" 1 1.0964092458256 -2.9634871817498
"Soil type sandy loam" "Center" 0.5 1.00564526245946 -2.51500467622102
